technique,rank,mean,median
Early Active - Early Active,1,0.21,0.0
Steady Inactive - Steady Inactive,2,0.13,-0.01
Early Active - Early Inactive,3,0.11,-0.0
Steady Active - Early Active,4,0.04,0.0
Early Active - Steady Active,5,0.03,-0.0
Steady Active - Steady Inactive,6,0.03,-0.02
Early Active - Steady Inactive,7,0.01,-0.01
Early Inactive - Early Active,8,0.0,0.0
Steady Active - Early Inactive,9,-0.01,-0.0
Steady Active - Steady Active,10,-0.01,-0.01
Steady Inactive - Early Inactive,11,-0.01,0.0
Early Inactive - Steady Active,12,-0.01,-0.01
Steady Inactive - Steady Active,13,-0.03,-0.01
Steady Inactive - Early Active,14,-0.03,-0.03
Early Inactive - Steady Inactive,15,-0.07,-0.02
Early Inactive - Early Inactive,16,-0.08,-0.03
